time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2024-01-01T07:18:42.037Z,37.1959,136.8697,10,6.2,mb,94,33,1.251,0.85,us,us6000m0xm,2024-01-02T23:45:53.771Z,"4 km SSW of Anamizu, Japan",earthquake,3.53,1.8,0.025,631,reviewed,us,us
2023-12-30T17:16:24.908Z,-2.9626,139.3532,39.102,6.3,mww,101,25,1.42,0.95,us,us6000m0n6,2023-12-31T17:23:18.043Z,"147 km WSW of Abepura, Indonesia",earthquake,6.94,5.382,0.057,30,reviewed,us,us
2023-12-30T17:16:23.000Z,-3.205,139.289,10,6.5,Mi,18,86.39999309,,,pt,pt23364001,2023-12-30T17:25:39.788Z,"163 km WSW of Abepura, Indonesia",earthquake,,,,13,reviewed,pt,pt
2023-12-28T09:15:15.393Z,44.5796,148.9903,23.844,6.5,mww,119,49,4.611,1.07,us,us6000m05c,2023-12-29T09:27:17.625Z,"113 km SE of Kuril’sk, Russia",earthquake,7.98,4.633,0.078,16,reviewed,us,us
2023-12-22T17:36:32.043Z,-52.0866,27.9398,10,6.1,mww,272,19,16.572,0.75,us,us7000lkxb,2023-12-23T17:40:31.633Z,south of Africa,,6.81,1.671,0.065,23,reviewed,us,us
2023-12-21T14:55:58.269Z,51.3266,-175.3556,30.086,6.1,mww,130,52,0.75,0.85,us,usd0010b4f,2024-01-06T15:06:02.957Z,"107 km SE of Adak, Alaska",earthquake,4.65,3.962,0.028,122,reviewed,us,us
2023-12-20T12:11:21.833Z,-15.8701,-72.5185,96.71,6.2,mww,185,70,3.243,0.78,us,us7000lkb1,2024-01-07T06:09:18.005Z,"11 km E of Iray, Peru",earthquake,8.74,4.4,0.04,,reviewed,us,us
,-18.6761,-175.4826,238.398,6.1,mww,89,32,2.495,1.38,us,us7000li15,2023-12-12T06:39:59.871Z,"158 km W of Neiafu, Tonga",earthquake,9.31,5.908,0.063,24,reviewed,us,us
2023-12-03T19:49:36.868Z,8.9535,126.6186,28.606,6.9,mww,151,25,2.136,0.9,us,us7000lfxx,2023-12-28T19:36:05.249Z,"34 km ENE of Aras-asan, Philippines",earthquake,7.67,2.426,0.05,39,reviewed,us,us
2023-12-03T14:35:58.768Z,8.7256,126.8701,26.514,6,,89,76,2.084,0.71,us,,2023-12-28T17:23:43.577Z,"63 km E of Marihatag, Philippines",earthquake,9.15,3.593,0.041,57,reviewed,us,us
2023-12-03T10:35:51.878Z,8.4929,126.7471,12.562,6.6,mww,135,32,1.827,0.88,us,us7000lftp,2023-12-26T13:52:44.055Z,"47 km ENE of Hinatuan, Philippines",earthquake,7.74,3.426,0.052,35,reviewed,us,us
2023-12-02T20:52:15.877Z,8.4475,126.7782,9,6,mww,176,42,1.813,0.58,us,us7000lgan,2024-01-05T04:05:27.261Z,"49 km NE of Barcelona, Philippines",earthquake,8.31,1.77,0.058,29,reviewed,us,us
2023-12-02T18:09:26.307Z,8.4476,126.9603,50.708,6.2,mww,206,17,1.936,0.72,us,us7000lfkh,2024-01-04T21:43:31.040Z,"66 km ENE of Barcelona, Philippines",earthquake,7.79,4.724,0.098,10,reviewed,us,us
2023-12-02T17:40:16.653Z,8.3752,126.7462,,6.1,mb,254,17,1.738,0.81,us,us7000lfjr,2023-12-05T19:34:59.598Z,,earthquake,8.31,4.53,0.031,408,,us,us
2023-12-02T16:03:37.952Z,8.4297,126.6978,13.083,6.3,mww,128,43,,0.88,us,us7000lfi0,2024-01-02T22:27:13.040Z,"40 km E of Hinatuan, Philippines",earthquake,8.75,3.139,0.063,24,reviewed,us,us
,,,,,,,,,,,,,,,,,,,,,
2023-11-24T09:05:03.893Z,20.1319,145.5195,22.163,6.9,mww,328,33,4.871,0.42,us,us6000lqf9,2024-01-05T09:15:18.941Z,"Maug Islands region, Northern Mariana Islands",earthquake,8.03,3.827,0.058,29,reviewed,us,us
2023-11-22T04:47:31.590Z,-14.9603,167.9718,13,6.7,mww,120,23,6.575,0.55,us,us6000lq00,2023-12-28T04:27:30.591Z,"97 km E of Port-Olry, Vanuatu",earthquake,8.25,1.738,0.047,44,reviewed,us,us
2023-11-22T02:48:51.641Z,1.7827,127.1887,102,6,mww,132,23,1.02,0.72,us,us6000lpyx,2023-12-28T04:04:52.739Z,"91 km W of Tobelo, Indonesia",earthquake,7.55,1.842,0.046,46,reviewed,us,us
2023-11-17T08:14:10.545Z,5.5711,124.9949,52,6.7,mww,244,21,1.598,1,us,us6000lp12,2023-12-28T19:28:00.811Z,"31 km S of Maasim, Philippines",earthquake,6.69,1.894,0.038,66,reviewed,us,us
2023-11-14T07:00:56.463Z,-4.033,87.1044,9,6.1,mww,132,54,12.583,0.86,us,usd00103xy,2023-12-27T14:51:42.370Z,South Indian Ocean,earthquake,8.47,1.813,0.043,52,reviewed,us,us
2023-11-13T07:43:34.115Z,-3.8855,151.067,10,6.1,mww,120,50,1.135,0.58,us,us7000lali,2024-01-03T11:07:01.878Z,"126 km WNW of Rabaul, Papua New Guinea",earthquake,4.13,1.813,0.048,41,reviewed,us,us
2023-11-10T20:45:11.772Z,-6.0976,130.0606,9.969,6.1,mww,186,37,1.572,0.75,us,us7000la7r,2023-12-07T22:49:43.418Z,Banda Sea,earthquake,6.43,2.746,0.043,51,reviewed,us,us
2023-11-08T13:02:06.115Z,-6.131,129.8738,10,6.7,mww,179,28,1.598,0.42,us,us7000l9ku,2023-12-18T18:04:33.163Z,Banda Sea,earthquake,6.55,1.807,0.039,64,reviewed,us,us
2023-11-08T04:52:51.393Z,-6.4442,129.7518,10,6.7,mwb,106,29,5.74,0.82,us,us7000l9h2,2023-12-07T03:07:26.584Z,Banda Sea,earthquake,3.62,1.723,0.034,85,reviewed,us,us
2023-11-01T21:04:48.023Z,-10.0561,123.7541,51,6.1,mww,258,13,6.023,0.88,us,us7000l85t,2024-01-05T05:21:29.160Z,"20 km NE of Kupang, Indonesia",earthquake,2.65,1.839,0.054,33,reviewed,us,us
2023-10-31T12:33:43.867Z,-28.7441,-71.5548,35,6.6,mww,169,32,0.684,0.52,us,us7000l7si,2023-12-12T08:14:51.512Z,"79 km WSW of Vallenar, Chile",earthquake,4.71,1.866,0.069,20,reviewed,us,us
2023-10-31T11:10:56.148Z,-17.5276,-179.0103,550.172,6.5,mww,113,27,2.809,0.74,us,us7000l7qy,2023-11-30T10:47:48.217Z,Fiji region,earthquake,8.49,3.654,0.052,36,reviewed,us,us
2023-10-29T04:32:07.879Z,-19.3971,168.7776,72.481,6,mww,115,21,3.433,0.71,us,us7000l7b6,2023-11-24T02:17:00.310Z,"55 km WNW of Isangel, Vanuatu",earthquake,8.32,3.995,0.069,20,reviewed,us,us
2023-10-23T10:10:14.193Z,-29.9334,-177.45,19,6,mww,105,56,0.784,1,us,us6000lhgd,2024-01-04T04:21:57.040Z,"Kermadec Islands, New Zealand",earthquake,4.31,1.724,0.048,41,reviewed,us,us
2023-10-16T11:35:30.449Z,52.5592,-176.924,174,6.4,mww,173,29,0.613,1.04,us,us6000lfvn,2024-01-01T11:45:35.692Z,"78 km NNW of Adak, Alaska",earthquake,6.09,1.891,0.04,61,reviewed,us,us
2023-10-15T03:36:00.454Z,34.6529,62.1244,9,6.3,mww,125,21,5.708,0.92,us,us6000lfn5,2023-12-26T21:24:17.040Z,"34 km NNW of Herāt, Afghanistan",earthquake,7.28,1.739,0.063,24,reviewed,us,us
2023-10-11T20:04:58.206Z,-52.0446,139.6131,10,6.3,mww,112,35,10.516,0.95,us,us6000lews,2023-12-16T22:13:07.040Z,west of Macquarie Island,earthquake,5.49,1.743,0.052,35,reviewed,us,us
2023-10-11T00:41:55.908Z,34.5364,62.0509,8,6.3,mww,423,21,4.645,0.7,us,us6000len8,2023-12-16T22:13:06.040Z,"24 km NNW of Herāt, Afghanistan",earthquake,7.87,1.746,0.044,49,reviewed,us,us
2023-10-10T10:01:31.660Z,-22.9147,-66.2547,253,6,mww,123,35,1.774,0.81,us,us6000legn,2023-12-16T22:13:06.040Z,"61 km WSW of Abra Pampa, Argentina",earthquake,9.19,1.947,0.049,40,reviewed,us,us
